title;album;release year;additional info
True Men Don't Kill Coyotes;The Red Hot Chili Peppers;1984;
Baby Appeal;The Red Hot Chili Peppers;1984;
Buckle Down;The Red Hot Chili Peppers;1984;
Get Up And Jump;The Red Hot Chili Peppers;1984;
Why Don't You Love Me;The Red Hot Chili Peppers;1984;
Green Heaven;The Red Hot Chili Peppers;1984;
Mommy Where's Daddy;The Red Hot Chili Peppers;1984;
Out In L.A.;The Red Hot Chili Peppers;1984;
Police Helicopter;The Red Hot Chili Peppers;1984;
You Always Sing;The Red Hot Chili Peppers;1984;
Grand Pappy Du Plenty;The Red Hot Chili Peppers;1984;Instrumental
What It Is (Nina's Song);The Red Hot Chili Peppers;1984;Bonus Track
Jungle Man;Freaky Styley;1985;
Hollywood (Africa);Freaky Styley;1985;
American Ghost Dance;Freaky Styley;1985;
If You Want Me To Stay;Freaky Styley;1985;
Nevermind;Freaky Styley;1985;
Freaky Styley;Freaky Styley;1985;
Blackeyed Blonde;Freaky Styley;1985;
The Brothers Cup;Freaky Styley;1985;
Battle Ship;Freaky Styley;1985;
Lovin' And Touchin';Freaky Styley;1985;
Catholic School Girls Rule;Freaky Styley;1985;
Sex Rap;Freaky Styley;1985;
Thirty Dirty Birds;Freaky Styley;1985;
Yertle The Turtle;Freaky Styley;1985;
Nevermind (Demo);Freaky Styley;1985;
Sex Rap (Demo);Freaky Styley;1985;
Freaky Styley (Original Long Version);Freaky Styley;1985;Instrumental
Millionaires Against Hunger;Freaky Styley;1985;Bonus Track
Fight Like A Brave;The Uplift Mofo Party Plan;1987;
Funky Crime;The Uplift Mofo Party Plan;1987;
Me & My Friends;The Uplift Mofo Party Plan;1987;
Backwoods;The Uplift Mofo Party Plan;1987;
Skinny Sweaty Man;The Uplift Mofo Party Plan;1987;
Behind The Sun;The Uplift Mofo Party Plan;1987;
Subterranean Homesick Blues;The Uplift Mofo Party Plan;1987;
Special Secret Song Inside;The Uplift Mofo Party Plan;1987;
No Chump Love Sucker;The Uplift Mofo Party Plan;1987;
Walkin' On Down The Road;The Uplift Mofo Party Plan;1987;
Love Trilogy;The Uplift Mofo Party Plan;1987;
Organic Anti-Beat Box Band;The Uplift Mofo Party Plan;1987;
Good Time Boys;Mother's Milk;1989;
Higher Ground;Mother's Milk;1989;
Subway To Venus;Mother's Milk;1989;
Magic Johnson;Mother's Milk;1989;
Nobody Weird Like Me;Mother's Milk;1989;
Knock Me Down;Mother's Milk;1989;
Taste The Pain;Mother's Milk;1989;
Stone Cold Bush;Mother's Milk;1989;
Fire;Mother's Milk;1989;
Pretty Little Ditty;Mother's Milk;1989;Instrumental
Punk Rock Classic;Mother's Milk;1989;
Sexy Mexican Maid;Mother's Milk;1989;
Johnny Kick A Hole In The Sky;Mother's Milk;1989;
Song That Made Us What We Are Today (Demo);Mother's Milk;1989;Instrumental
Knock Me Down (Original Long Version);Mother's Milk;1989;
Sexy Mexican Maid (Original Long Version);Mother's Milk;1989;
Salute To Kareem (Demo);Mother's Milk;1989;Instrumental
Castles Made Of Sand;Mother's Milk;1989;Bonus Track
Crosstown Traffic;Mother's Milk;1989;Bonus Track
The Power Of Equality;Blood Sugar Sex Magik;1991;
If You Have To Ask;Blood Sugar Sex Magik;1991;
Breaking The Girl;Blood Sugar Sex Magik;1991;
Funky Monks;Blood Sugar Sex Magik;1991;
Suck My Kiss;Blood Sugar Sex Magik;1991;
I Could Have Lied;Blood Sugar Sex Magik;1991;
Mellowship Slinky In B Major;Blood Sugar Sex Magik;1991;
The Righteous & The Wicked;Blood Sugar Sex Magik;1991;
Give It Away;Blood Sugar Sex Magik;1991;
Blood Sugar Sex Magik;Blood Sugar Sex Magik;1991;
Under The Bridge;Blood Sugar Sex Magik;1991;
Naked In The Rain;Blood Sugar Sex Magik;1991;
Apache Rose Peacock;Blood Sugar Sex Magik;1991;
The Greeting Song;Blood Sugar Sex Magik;1991;
My Lovely Man;Blood Sugar Sex Magik;1991;
Sir Psycho Sexy;Blood Sugar Sex Magik;1991;
They're Red Hot;Blood Sugar Sex Magik;1991;
Little Miss Lover;Blood Sugar Sex Magik;1991;Bonus Track
Castles Made Of Sand;Blood Sugar Sex Magik;1991;Bonus Track
Warped;One Hot Minute;1995;
Aeroplane;One Hot Minute;1995;
Deep Kick;One Hot Minute;1995;
My Friends;One Hot Minute;1995;
Coffee Shop;One Hot Minute;1995;
Pea;One Hot Minute;1995;
One Big Mob;One Hot Minute;1995;
Walkabout;One Hot Minute;1995;
Tearjerker;One Hot Minute;1995;
One Hot Minute;One Hot Minute;1995;
Falling Into Grace;One Hot Minute;1995;
Shallow Be Thy Game;One Hot Minute;1995;
Transcending;One Hot Minute;1995;
Melancholy Mechanics;One Hot Minute;1995;Bonus Track
Let's Make Evil;One Hot Minute;1995;Bonus Track
Stretch You Out;One Hot Minute;1995;Bonus Track
Bob;One Hot Minute;1995;Bonus Track
Around The World;Californication;1999;
Parallel Universe;Californication;1999;
Scar Tissue;Californication;1999;
Otherside;Californication;1999;
Get On Top;Californication;1999;
Californication;Californication;1999;
Easily;Californication;1999;
Porcelain;Californication;1999;
Emit Remmus;Californication;1999;
I Like Dirt;Californication;1999;
This Velvet Glove;Californication;1999;
Savior;Californication;1999;
Purple Stain;Californication;1999;
Right On Time;Californication;1999;
Road Trippin';Californication;1999;
Gong Li;Californication;1999;Bonus Track
How Strong;Californication;1999;Bonus Track
Quixoticelixer;Californication;1999;Bonus Track
Over Funk;Californication;1999;Bonus Track
Fat Dance;Californication;1999;Bonus Track
By The Way;By The Way;2002;
Universally Speaking;By The Way;2002;
This Is The Place;By The Way;2002;
Dosed;By The Way;2002;
Don't Forget Me;By The Way;2002;
The Zephyr Song;By The Way;2002;
Can't Stop;By The Way;2002;
I Could Die For You;By The Way;2002;
Midnight;By The Way;2002;
Throw Away Your Television;By The Way;2002;
Cabron;By The Way;2002;
Tear;By The Way;2002;
On Mercury;By The Way;2002;
Minor Thing;By The Way;2002;
Warm Tape;By The Way;2002;
Venice Queen;By The Way;2002;
Time;By The Way;2002;Bonus Track
Runaway;By The Way;2002;Bonus Track
Bicycle Song;By The Way;2002;Bonus Track
Dani California;Stadium Arcadium;2006;
Snow (Hey Oh);Stadium Arcadium;2006;
Charlie;Stadium Arcadium;2006;
Stadium Arcadium;Stadium Arcadium;2006;
Hump De Bump;Stadium Arcadium;2006;
She's Only 18;Stadium Arcadium;2006;
Slow Cheetah;Stadium Arcadium;2006;
Torture Me;Stadium Arcadium;2006;
Strip My Mind;Stadium Arcadium;2006;
Especially In Michigan;Stadium Arcadium;2006;
Warlocks;Stadium Arcadium;2006;
C'mon Girl;Stadium Arcadium;2006;
Wet Sand;Stadium Arcadium;2006;
Hey;Stadium Arcadium;2006;
Desecration Smile;Stadium Arcadium;2006;
Tell Me Baby;Stadium Arcadium;2006;
Hard To Concentrate;Stadium Arcadium;2006;
21st Century;Stadium Arcadium;2006;
She Looks To Me;Stadium Arcadium;2006;
Readymade;Stadium Arcadium;2006;
If;Stadium Arcadium;2006;
Make You Feel Better;Stadium Arcadium;2006;
Animal Bar;Stadium Arcadium;2006;
So Much I;Stadium Arcadium;2006;
Storm In A Teacup;Stadium Arcadium;2006;
We Believe;Stadium Arcadium;2006;
Turn It Again;Stadium Arcadium;2006;
Death Of A Martian;Stadium Arcadium;2006;
Monarchy Of Roses;I'm With You;2011;
Factory Of Faith;I'm With You;2011;
Brendan's Death Song;I'm With You;2011;
Ethiopia;I'm With You;2011;
Annie Wants A Baby;I'm With You;2011;
Look Around;I'm With You;2011;
The Adventures Of Rain Dance Maggie;I'm With You;2011;
Did I Let You Know;I'm With You;2011;
Goodbye Hooray;I'm With You;2011;
Happiness Loves Company;I'm With You;2011;
Police Station;I'm With You;2011;
Even You Brutus?;I'm With You;2011;
Meet Me At The Corner;I'm With You;2011;
Dance, Dance, Dance;I'm With You;2011;
Strange Man;I'm With You Sessions;2013;
Long Progression;I'm With You Sessions;2013;
Magpies On Fire;I'm With You Sessions;2013;
Victorian Machinery;I'm With You Sessions;2013;
Never Is A Long Time;I'm With You Sessions;2013;
Love Of Your Life;I'm With You Sessions;2013;
The Sunset Sleeps;I'm With You Sessions;2013;
Hometown Gypsy;I'm With You Sessions;2013;
Pink As Floyd;I'm With You Sessions;2013;
Your Eyes Girl;I'm With You Sessions;2013;
In Love, Dying;I'm With You Sessions;2013;
Catch My Death;I'm With You Sessions;2013;
How It Ends;I'm With You Sessions;2013;
This Is The Kitt;I'm With You Sessions;2013;
Brave From Afar;I'm With You Sessions;2013;
Hanalei;I'm With You Sessions;2013;
Open/Close;I'm With You Sessions;2013;
The Getaway;The Getaway;2016;
Dark Necessities;The Getaway;2016;
We Turn Red;The Getaway;2016;
The Longest Wave;The Getaway;2016;
Goodbye Angels;The Getaway;2016;
Sick Love;The Getaway;2016;
Go Robot;The Getaway;2016;
Feasting On The Flowers;The Getaway;2016;
Detroit;The Getaway;2016;
This Ticonderoga;The Getaway;2016;
Encore;The Getaway;2016;
The Hunter;The Getaway;2016;
Dreams Of A Samurai;The Getaway;2016;
Black Summer;Unlimited Love;2022;
Here Ever After;Unlimited Love;2022;
Aquatic Mouth Dance;Unlimited Love;2022;
Not The One;Unlimited Love;2022;
Poster Child;Unlimited Love;2022;
The Great Apes;Unlimited Love;2022;
It's Only Natural;Unlimited Love;2022;
She's A Lover;Unlimited Love;2022;
These Are The Ways;Unlimited Love;2022;
Whatchu Thinkin';Unlimited Love;2022;
Bastards Of Light;Unlimited Love;2022;
White Braids & Pillow Chair;Unlimited Love;2022;
One Way Traffic;Unlimited Love;2022;
Veronica;Unlimited Love;2022;
Let 'Em Cry;Unlimited Love;2022;
The Heavy Wing;Unlimited Love;2022;
Tangelo;Unlimited Love;2022;
Nerve Flip;Unlimited Love;2022;Bonus Track
Tippa My Tongue;Return Of The Dream Canteen;2022;
Peace And Love;Return Of The Dream Canteen;2022;
Reach Out;Return Of The Dream Canteen;2022;
Eddie;Return Of The Dream Canteen;2022;
Fake As Fu@k;Return Of The Dream Canteen;2022;
Bella;Return Of The Dream Canteen;2022;
Roulette;Return Of The Dream Canteen;2022;
My Cigarette;Return Of The Dream Canteen;2022;
Afterlife;Return Of The Dream Canteen;2022;
Shoot Me A Smile;Return Of The Dream Canteen;2022;
Handful;Return Of The Dream Canteen;2022;
The Drummer;Return Of The Dream Canteen;2022;
Bag Of Grins;Return Of The Dream Canteen;2022;
La La La La La La La La;Return Of The Dream Canteen;2022;
Copperbelly;Return Of The Dream Canteen;2022;
Carry Me Home;Return Of The Dream Canteen;2022;
In The Snow;Return Of The Dream Canteen;2022;
The Shape I'm Takin';Return Of The Dream Canteen;2022;Bonus Track
